frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
400.98333333333335,66.5,613.0555573427982,0.0,2217.0,386.48333333333335,156.0,450.1960865988163,0.0,1436.0,384.4866666666666,136.6,505.3856842276225,0.0,1870.4,0.0,0.0,0.0,0.0,0.0
279.0833333333333,161.0,300.92043752829784,0.0,828.0,461.4166666666667,188.0,508.13854054665927,0.0,1437.0,530.55,148.1,604.202456824973,0.0,1870.4,0.0,0.0,0.0,0.0,0.0
372.5833333333333,162.5,560.2395705311155,0.0,2197.0,401.15,188.0,466.52076856234385,0.0,1437.0,413.18333333333334,136.29999999999998,538.7422962068434,0.0,1871.6,0.0,0.0,0.0,0.0,0.0
312.95,161.0,432.01313348091634,0.0,2091.0,428.8,217.0,477.62212399901796,0.0,1434.0,467.82666666666665,137.89999999999998,560.8812428867828,0.0,1790.4,0.0,0.0,0.0,0.0,0.0
338.9166666666667,73.5,470.3403835403557,0.0,2098.0,432.48333333333335,153.0,493.4964198339121,0.0,1435.0,466.25,137.1,567.9564603324213,0.0,1790.0,0.0,0.0,0.0,0.0,0.0
29.033333333333335,0.0,59.10075201627208,0.0,174.0,8.0,0.0,16.0,0.0,40.0,1.8933336666666662,0.0,4.782114695404452,0.0,15.799999999999997,0.0,0.0,0.0,0.0,0.0
50.01724137931034,0.0,156.76728759966326,0.0,720.0,88.89655172413794,0.0,294.7287876403856,0.0,1434.0,99.54827586206896,0.0,351.6591424903202,0.0,1790.4,0.0,0.0,0.0,0.0,0.0
327.78333333333336,66.5,498.12328098128023,0.0,2829.0,428.71666666666664,156.0,493.92911406620107,0.0,1435.0,454.46,139.0,564.9299193115314,0.0,1791.0,0.0,0.0,0.0,0.0,0.0
468.23333333333335,150.0,672.1308991227495,0.0,2308.0,447.18333333333334,218.0,501.19758218579716,0.0,1435.0,451.7033333333333,135.5,571.3530647993022,0.0,1788.8,0.0,0.0,0.0,0.0,0.0
288.23333333333335,79.5,395.09198788242827,0.0,2115.0,402.23333333333335,153.0,489.318177558211,0.0,1436.0,429.46999999999997,135.5,562.8916838670356,0.0,1791.0,0.0,0.0,0.0,0.0,0.0
408.3333333333333,171.5,529.9794859761607,0.0,2187.0,530.4666666666667,217.0,580.9475726967299,0.0,1437.0,576.9833333333333,135.5,674.9061201793592,0.0,1791.2,0.0,0.0,0.0,0.0,0.0
68.43103448275862,0.0,204.93153710185712,0.0,745.0,123.65517241379311,0.0,380.23697473549936,0.0,1439.0,135.83103448275864,0.0,417.1258253923805,0.0,1596.4,0.0,0.0,0.0,0.0,0.0
286.21666666666664,71.5,314.0155034212306,0.0,791.0,522.1833333333333,156.5,593.8739061357123,0.0,1438.0,574.89,142.2,666.1071059271674,0.0,1790.8,0.0,0.0,0.0,0.0,0.0
319.4166666666667,68.5,409.3350417309625,0.0,2297.0,517.55,147.0,596.4299742355902,0.0,1443.0,551.9333333333333,143.3,652.2950402659487,0.0,1790.8,0.0,0.0,0.0,0.0,0.0
702.5,702.5,0.5,702.0,703.0,1436.0,1436.0,1.0,1435.0,1437.0,1595.5,1595.5,0.900000000000091,1594.6,1596.4,0.0,0.0,0.0,0.0,0.0
726.0,726.0,0.0,726.0,726.0,1436.0,1436.0,0.0,1436.0,1436.0,1790.8,1790.8,0.0,1790.8,1790.8,0.0,0.0,0.0,0.0,0.0
309.6666666666667,80.5,390.13022042503815,0.0,2115.0,453.28333333333336,153.5,512.25537549373,0.0,1436.0,481.15,135.5,571.788820719678,0.0,1790.8,0.0,0.0,0.0,0.0,0.0
726.0,726.0,0.0,726.0,726.0,1436.0,1436.0,0.0,1436.0,1436.0,1790.8,1790.8,0.0,1790.8,1790.8,0.0,0.0,0.0,0.0,0.0
726.0,726.0,0.0,726.0,726.0,1436.0,1436.0,0.0,1436.0,1436.0,1790.8,1790.8,0.0,1790.8,1790.8,0.0,0.0,0.0,0.0,0.0
350.65,166.0,452.51264531134,0.0,2114.0,482.48333333333335,189.5,535.4374377293973,0.0,1437.0,507.2366666666667,85.6,602.3896761971347,0.0,1793.2,0.0,0.0,0.0,0.0,0.0
293.35,79.5,378.31489639364366,0.0,2096.0,446.8,153.5,522.8240876878825,0.0,1438.0,482.97999999999996,137.1,600.9154723697279,0.0,1793.2,0.0,0.0,0.0,0.0,0.0
706.5,706.5,2.5,704.0,709.0,1434.5,1434.5,0.5,1434.0,1435.0,1793.2,1793.2,0.0,1793.2,1793.2,0.0,0.0,0.0,0.0,0.0
331.3666666666667,80.5,449.60764253093186,0.0,2097.0,426.23333333333335,153.5,501.53728231862834,0.0,1439.0,474.71,136.9,583.1069843805109,0.0,1793.0,0.0,0.0,0.0,0.0,0.0
141.0,141.0,2.0,139.0,143.0,312.0,312.0,0.0,312.0,312.0,483.79999999999995,483.79999999999995,0.4000000000000057,483.4,484.2,0.0,0.0,0.0,0.0,0.0
